OKRES,OBEC,OKRSEK,PROP_MAE,OKRSEK_POC_HLASU,url_ps2021,url_ps2025
5302,575500,3,1.85,532,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/575500_3.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/575500_3.json
6101,568414,18,1.85,562,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/568414_18.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/568414_18.json
6102,587711,4,1.85,567,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6102/587711_4.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6102/587711_4.json
5202,572659,11,1.85,575,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5202/572659_11.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5202/572659_11.json
2102,531057,10,1.85,635,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2102/531057_10.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2102/531057_10.json
6203,595527,1,1.85,726,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6203/595527_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6203/595527_1.json
3206,560014,1,1.85,770,https://www.volby.cz/appdata/ps2021/vysled/okrsek/3206/560014_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/3206/560014_1.json
8105,507504,1,1.85,862,https://www.volby.cz/appdata/ps2021/vysled/okrsek/8105/507504_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/8105/507504_1.json
6101,568881,1,1.86,113,https://www.volby.cz/appdata/ps2021/vysled/okrsek/6101/568881_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/6101/568881_1.json
5302,572934,1,1.86,165,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5302/572934_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5302/572934_1.json
4203,564923,1,1.86,178,https://www.volby.cz/appdata/ps2021/vysled/okrsek/4203/564923_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/4203/564923_1.json
2102,531219,1,1.86,228,https://www.volby.cz/appdata/ps2021/vysled/okrsek/2102/531219_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/2102/531219_1.json
5204,576689,1,1.86,316,https://www.volby.cz/appdata/ps2021/vysled/okrsek/5204/576689_1.json,https://www.volby.cz/appdata/ps2025/vysled/okrsek/5204/576689_1.json
